Country,Clicks,Impressions,CTR,Position
Saudi Arabia,16,473,3.38%,5.64
Yemen,8,135,5.93%,6.64
Egypt,2,72,2.78%,9.49
Jordan,1,4,25%,8.5
United Kingdom,1,3,33.33%,4.67
Turkey,1,3,33.33%,6
Mali,1,1,100%,11
United States,0,99,0%,6.22
Kuwait,0,14,0%,46.07
Syria,0,8,0%,7.75
Lebanon,0,6,0%,8.33
Sudan,0,5,0%,6.2
Algeria,0,4,0%,7.25
United Arab Emirates,0,4,0%,9.25
India,0,3,0%,5.33
Brazil,0,3,0%,25
Iraq,0,2,0%,1
Canada,0,2,0%,3
Tunisia,0,2,0%,3
Morocco,0,2,0%,4
Oman,0,2,0%,6.5
Pakistan,0,2,0%,7
Libya,0,2,0%,9
Spain,0,2,0%,11
Rwanda,0,1,0%,1
Palestine,0,1,0%,5
Burkina Faso,0,1,0%,9
France,0,1,0%,9
Netherlands,0,1,0%,9
Congo - Kinshasa,0,1,0%,11
Russia,0,1,0%,11
Honduras,0,1,0%,15
Argentina,0,1,0%,16
Senegal,0,1,0%,16
South Africa,0,1,0%,18
South Korea,0,1,0%,89